Товар,Категория,Бренд,Дата обновления,Склады
G6K-2P-Y-DC5,Заказные позиции 5,Omron®,2022-02-23 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
XC4VLX25-10FF668C,Заказные позиции 1,Xilinx,2021-12-12 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
AC1218FK-071R2L,Заказные позиции 10,Yageo,2022-02-28 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
271-330K/REEL-RC,Заказные позиции 9,Нет производителя,2022-02-28 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
0402N0R8B160CT,Заказные позиции 7,Walsin Technology Corporation,2022-02-28 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
MS3102E18-9S W/P CAP,Заказные позиции 5,Amphenol Industrial Products Group,2022-02-28 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
MBRF10H150CT C0,Заказные позиции 4,"Taiwan Semiconductor Co., Ltd",2022-02-28 05:20:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
AquaExpert-sensor-radio Беспроводной датчик протечки воды AquaExpert RADIO EKF(кр.1шт),Средства и системы охранно-пожарной сигнализации,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Светильник для растений, фитолампа светодиодная линейная ЭРА FITO-10W-Т5-Ra90-Slim полного спектра 10 Вт Т5(кр.1шт) [Б0057400]",Светильники внутреннего освещения прочие LED,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Линейный светодиодный светильник ЭРА RED LINE LLED-04-0-30K-012 12Вт 3000K L857мм(кр.1шт) [Б0056185],Светильники внутреннего освещения прочие LED,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Полоса стальная горячеоцинкованная 50х5 мм (бухта 25 м) TDM (кр.25шт) [SQ2401-0626],Системы молниезащиты и заземления,TDM ELECTRIC,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Линейный светодиодный светильник ЭРА RED LINE LLED-04-0-40K-008 8Вт 4000K L562мм(кр.1шт) [Б0056182],Светильники внутреннего освещения прочие LED,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Проводник заземления плоский луженый ПЗ 35-200 (3 шт. упак) ТDM (кр.3шт) [SQ0839-0030],Системы молниезащиты и заземления,TDM ELECTRIC,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Проводник заземления плоский луженый ПЗ 25-800 (2 шт. упак) ТDM (кр.2шт) [SQ0839-0026],Системы молниезащиты и заземления,TDM ELECTRIC,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
